region,code,variable,groupe,valeur
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),65 ans et plus,3761
24 - CENTRE-VAL-DE-LOIRE,24,DOSES(J07E1),65 ans et plus,5903
24 - CENTRE-VAL-DE-LOIRE,24,ACTE(VGP),moins de 65 ans,354
24 - CENTRE-VAL-DE-LOIRE,24,DOSES(J07E1),moins de 65 ans,551
28 - NORMANDIE,28,ACTE(VGP),65 ans et plus,3905
28 - NORMANDIE,28,DOSES(J07E1),65 ans et plus,5932
28 - NORMANDIE,28,ACTE(VGP),moins de 65 ans,404
28 - NORMANDIE,28,DOSES(J07E1),moins de 65 ans,619
44 - GRAND-EST,44,ACTE(VGP),65 ans et plus,3267
44 - GRAND-EST,44,DOSES(J07E1),65 ans et plus,5455
44 - GRAND-EST,44,ACTE(VGP),moins de 65 ans,311
44 - GRAND-EST,44,DOSES(J07E1),moins de 65 ans,524
52 - PAYS-DE-LA-LOIRE,52,ACTE(VGP),65 ans et plus,3645
52 - PAYS-DE-LA-LOIRE,52,DOSES(J07E1),65 ans et plus,5847
52 - PAYS-DE-LA-LOIRE,52,ACTE(VGP),moins de 65 ans,349
52 - PAYS-DE-LA-LOIRE,52,DOSES(J07E1),moins de 65 ans,552
53 - BRETAGNE,53,ACTE(VGP),65 ans et plus,3766
53 - BRETAGNE,53,DOSES(J07E1),65 ans et plus,6116
53 - BRETAGNE,53,ACTE(VGP),moins de 65 ans,398
53 - BRETAGNE,53,DOSES(J07E1),moins de 65 ans,636
75 - NOUVELLE-AQUITAINE,75,ACTE(VGP),65 ans et plus,3389
75 - NOUVELLE-AQUITAINE,75,DOSES(J07E1),65 ans et plus,5826
75 - NOUVELLE-AQUITAINE,75,ACTE(VGP),moins de 65 ans,327
75 - NOUVELLE-AQUITAINE,75,DOSES(J07E1),moins de 65 ans,565
76 - OCCITANIE,76,ACTE(VGP),65 ans et plus,3424
76 - OCCITANIE,76,DOSES(J07E1),65 ans et plus,5656
76 - OCCITANIE,76,ACTE(VGP),moins de 65 ans,307
76 - OCCITANIE,76,DOSES(J07E1),moins de 65 ans,501
94 - CORSE,94,ACTE(VGP),65 ans et plus,1553
94 - CORSE,94,DOSES(J07E1),65 ans et plus,4487
94 - CORSE,94,ACTE(VGP),moins de 65 ans,141
94 - CORSE,94,DOSES(J07E1),moins de 65 ans,416
