campagne,date,jour,variable,groupe,valeur
2024-2025,2024-10-15,1,ACTE(VGP),65 ans et plus,146334
2024-2025,2024-10-15,1,DOSES(J07E1),65 ans et plus,341944
2024-2025,2024-10-15,1,ACTE(VGP),moins de 65 ans,44589
2024-2025,2024-10-15,1,DOSES(J07E1),moins de 65 ans,91436
2024-2025,2024-10-16,2,ACTE(VGP),65 ans et plus,115083
2024-2025,2024-10-16,2,DOSES(J07E1),65 ans et plus,255443
2024-2025,2024-10-16,2,ACTE(VGP),moins de 65 ans,34347
2024-2025,2024-10-16,2,DOSES(J07E1),moins de 65 ans,69248
2024-2025,2024-10-17,3,ACTE(VGP),65 ans et plus,110854
2024-2025,2024-10-17,3,DOSES(J07E1),65 ans et plus,233798
2024-2025,2024-10-17,3,ACTE(VGP),moins de 65 ans,30414
2024-2025,2024-10-17,3,DOSES(J07E1),moins de 65 ans,58682
2024-2025,2024-10-18,4,ACTE(VGP),65 ans et plus,109709
2024-2025,2024-10-18,4,DOSES(J07E1),65 ans et plus,224778
2024-2025,2024-10-18,4,ACTE(VGP),moins de 65 ans,34582
2024-2025,2024-10-18,4,DOSES(J07E1),moins de 65 ans,62795
2024-2025,2024-10-19,5,ACTE(VGP),65 ans et plus,31866
2024-2025,2024-10-19,5,DOSES(J07E1),65 ans et plus,86732
2024-2025,2024-10-19,5,ACTE(VGP),moins de 65 ans,19072
2024-2025,2024-10-19,5,DOSES(J07E1),moins de 65 ans,37235
2024-2025,2024-10-20,6,ACTE(VGP),65 ans et plus,396
2024-2025,2024-10-20,6,DOSES(J07E1),65 ans et plus,1551
2024-2025,2024-10-20,6,ACTE(VGP),moins de 65 ans,250
2024-2025,2024-10-20,6,DOSES(J07E1),moins de 65 ans,559
2024-2025,2024-10-21,7,ACTE(VGP),65 ans et plus,98966
2024-2025,2024-10-21,7,DOSES(J07E1),65 ans et plus,197652
2024-2025,2024-10-21,7,ACTE(VGP),moins de 65 ans,28323
2024-2025,2024-10-21,7,DOSES(J07E1),moins de 65 ans,53840
2024-2025,2024-10-22,8,ACTE(VGP),65 ans et plus,121847
2024-2025,2024-10-22,8,DOSES(J07E1),65 ans et plus,230897
2024-2025,2024-10-22,8,ACTE(VGP),moins de 65 ans,30945
2024-2025,2024-10-22,8,DOSES(J07E1),moins de 65 ans,56879
2024-2025,2024-10-23,9,ACTE(VGP),65 ans et plus,91773
